Pennsylvania,12807060
Adams County,102811
Allegheny County,1218452
Armstrong County,65263
Beaver County,164742
Bedford County,48176
Berks County,420152
Blair County,122492
Bradford County,60833
Bucks County,628195
Butler County,187888
Cambria County,131730
Cameron County,4492
Carbon County,64227
Centre County,162805
Chester County,522046
Clarion County,38779
Clearfield County,79388
Clinton County,38684
Columbia County,65456
Crawford County,85063
Cumberland County,251423
Dauphin County,277097
Delaware County,564751
Elk County,30169
Erie County,272061
Fayette County,130441
Forest County,7279
Franklin County,154835
Fulton County,14523
Greene County,36506
Huntingdon County,45168
Indiana County,84501
Jefferson County,43641
Juniata County,24704
Lackawanna County,210793
Lancaster County,543557
Lawrence County,86184
Lebanon County,141314
Lehigh County,368100
Luzerne County,317646
Lycoming County,113664
McKean County,40968
Mercer County,110683
Mifflin County,46222
Monroe County,169507
Montgomery County,828604
Montour County,18240
Northampton County,304807
Northumberland County,91083
Perry County,46139
Philadelphia County,1584138
Pike County,55933
Potter County,16622
Schuylkill County,142067
Snyder County,40540
Somerset County,73952
Sullivan County,6071
Susquehanna County,40589
Tioga County,40763
Union County,44785
Venango County,51266
Warren County,39498
Washington County,207346
Wayne County,51276
Westmoreland County,350611
Wyoming County,27046
York County,448273
